草药名称,中文名,植物学名,简要描述,成分构成,推荐剂量,功效分类,使用建议,安全性等级,注意事项,中医体质匹配,参考链接
"Uvae ursi folium","Uvae ursi folium(待翻译)","Bear-berry Leaf","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Urinary tract and genital disorders"
"Melted herba","Melted herba(待翻译)","Wild Mint Herbs","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Gentianae radix","Gentianae radix(待翻译)","Gentian Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Calli cortex","Calli cortex(待翻译)","Cinnamon Bark","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Arnicae flos","Arnicae flos(待翻译)","Arnica Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Crataegi fructus cum flore","Crataegi fructus cum flore(待翻译)","Hawthorn Fruit and Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cardiovascular disorders"
"Salicis cortex","Salicis cortex(待翻译)","Willow Bark","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Pruni dulcis radix","Pruni dulcis radix(待翻译)","Sweet Almond","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and cosmetics"
"Frangulae cortex","Frangulae cortex(待翻译)","Alder Buckthorn Bark","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Plantaginis ovatae semen","Plantaginis ovatae semen(待翻译)","Psyllium Seed","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
